Z,E,Element,A,Representative isotopic composition,Notes,Mean value,idx
97,Bk,Berkelium,247,1,,1,97247
98,Cf,Californium,251,1,,1,98251
99,Es,Einsteinium,252,1,,1,99252
100,Fm,Fermium,257,1,,1,100257
101,Md,Mendelevium,258,1,,1,101258
102,Nb,Nobelium,259,1,,1,102259
103,Lr,Lawrencium,262,1,,1,103262
104,Rf,Rutherfordium,263,1,,1,104263
105,Db,Dubnium,262,1,,1,105262
106,Sg,Seaborgium,266,1,,1,106266
107,Bh,Bohrium,264,1,,1,107264
108,Hs,Hassium,269,1,,1,108269
109,Mt,Meitnerium,268,1,,1,109268
110,Uun,Ununnilium,272,1,,1,110272
111,Uuu,Unununium,272,1,,1,111272
112,Uub,Ununbium,277,1,,1,112277
114,Uuq,Ununquadium,289,1,,1,114289
116,Uuh,Ununhexium,289,1,,1,116289
118,Uuo,Ununoctium,293,1,,1,118293
